Target_E   Reached_E  Difference   Sweeps  TotalTime  Electrons  Dimension    J     K     B 
 0.0000     0.0000    0.0000       00100   005        1          0000000004   0.00  1.00  0.00
-0.2000    -0.1851   -0.0149       00100   005        1          0000000004   0.10  1.00  0.00
-0.4000    -0.3059   -0.0941       00100   005        1          0000000004   0.20  1.00  0.00
-0.6000    -0.5923   -0.0077       00100   005        1          0000000004   0.30  1.00  0.00
-0.8000    -0.2955   -0.5045       00100   005        1          0000000004   0.40  1.00  0.00
-1.0000    -0.9337   -0.0663       00100   005        1          0000000004   0.50  1.00  0.00
-1.2000    -1.0934   -0.1066       00100   005        1          0000000004   0.60  1.00  0.00
-1.4000    -1.3852   -0.0148       00100   005        1          0000000004   0.70  1.00  0.00
-1.6000    -1.4823   -0.1177       00100   005        1          0000000004   0.80  1.00  0.00
-1.8000    -1.2921   -0.5079       00100   005        1          0000000004   0.90  1.00  0.00
-2.0000    -1.3275   -0.6725       00100   005        1          0000000004   1.00  1.00  0.00
-0.2000    -0.2000    0.0000       00100   005        1          0000000004   0.00  0.00  0.10
-0.4000    -0.3655   -0.0345       00100   005        1          0000000004   0.10  0.00  0.10
-0.6000    -0.4945   -0.1055       00100   005        1          0000000004   0.20  0.00  0.10
-0.8000    -0.6382   -0.1618       00100   005        1          0000000004   0.30  0.00  0.10
-1.0000    -0.8258   -0.1742       00100   005        1          0000000004   0.40  0.00  0.10
-1.2000    -0.9818   -0.2182       00100   005        1          0000000004   0.50  0.00  0.10
-1.4000    -0.6988   -0.7012       00100   005        1          0000000004   0.60  0.00  0.10
-1.6000    -1.2131   -0.3869       00100   005        1          0000000004   0.70  0.00  0.10
-1.8000    -0.7796   -1.0204       00100   005        1          0000000004   0.80  0.00  0.10
-2.0000    -1.0064   -0.9936       00100   005        1          0000000004   0.90  0.00  0.10
-2.2000    -2.0842   -0.1158       00100   005        1          0000000004   1.00  0.00  0.10
-0.2000    -0.2000    0.0000       00100   005        1          0000000004   0.00  0.10  0.10
-0.4000    -0.3490   -0.0510       00100   005        1          0000000004   0.10  0.10  0.10
-0.6000    -0.5230   -0.0770       00100   005        1          0000000004   0.20  0.10  0.10
-0.8000    -0.7954   -0.0046       00100   005        1          0000000004   0.30  0.10  0.10
-1.0000    -0.8554   -0.1446       00100   005        1          0000000004   0.40  0.10  0.10
-1.2000    -1.0509   -0.1491       00100   005        1          0000000004   0.50  0.10  0.10
-1.4000    -1.3302   -0.0698       00100   005        1          0000000004   0.60  0.10  0.10
-1.6000    -1.5428   -0.0572       00100   005        1          0000000004   0.70  0.10  0.10
-1.8000    -1.5707   -0.2293       00100   005        1          0000000004   0.80  0.10  0.10
-2.0000    -1.9435   -0.0565       00100   005        1          0000000004   0.90  0.10  0.10
-2.2000    -1.6070   -0.5930       00100   005        1          0000000004   1.00  0.10  0.10
-0.2000    -0.2000    0.0000       00100   005        1          0000000004   0.00  0.20  0.10
-0.4000    -0.3646   -0.0354       00100   005        1          0000000004   0.10  0.20  0.10
-0.6000    -0.5230   -0.0770       00100   005        1          0000000004   0.20  0.20  0.10
-0.8000    -0.7775   -0.0225       00100   005        1          0000000004   0.30  0.20  0.10
-1.0000    -0.8114   -0.1886       00100   005        1          0000000004   0.40  0.20  0.10
-1.2000    -1.1224   -0.0776       00100   005        1          0000000004   0.50  0.20  0.10
-1.4000    -1.3660   -0.0340       00100   005        1          0000000004   0.60  0.20  0.10
-1.6000    -1.5401   -0.0599       00100   005        1          0000000004   0.70  0.20  0.10
-1.8000    -1.6722   -0.1278       00100   005        1          0000000004   0.80  0.20  0.10
-2.0000    -1.8353   -0.1647       00100   005        1          0000000004   0.90  0.20  0.10
-2.2000    -1.9851   -0.2149       00100   005        1          0000000004   1.00  0.20  0.10
-0.2000    -0.2000    0.0000       00100   005        1          0000000004   0.00  0.30  0.10
-0.4000    -0.3958   -0.0042       00100   005        1          0000000004   0.10  0.30  0.10
-0.6000    -0.5538   -0.0462       00100   005        1          0000000004   0.20  0.30  0.10
-0.8000    -0.7946   -0.0054       00100   005        1          0000000004   0.30  0.30  0.10
-1.0000    -0.8597   -0.1403       00100   005        1          0000000004   0.40  0.30  0.10
-1.2000    -0.4198   -0.7802       00100   005        1          0000000004   0.50  0.30  0.10
-1.4000    -1.2788   -0.1212       00100   005        1          0000000004   0.60  0.30  0.10
-1.6000    -1.4907   -0.1093       00100   005        1          0000000004   0.70  0.30  0.10
-1.8000    -1.7579   -0.0421       00100   005        1          0000000004   0.80  0.30  0.10
-2.0000    -1.6806   -0.3194       00100   005        1          0000000004   0.90  0.30  0.10
-2.2000    -0.7467   -1.4533       00100   005        1          0000000004   1.00  0.30  0.10
-0.2000    -0.2000    0.0000       00100   005        1          0000000004   0.00  0.40  0.10
-0.4000    -0.3709   -0.0291       00100   005        1          0000000004   0.10  0.40  0.10
-0.6000    -0.4520   -0.1480       00100   005        1          0000000004   0.20  0.40  0.10
-0.8000    -0.7704   -0.0296       00100   005        1          0000000004   0.30  0.40  0.10
-1.0000    -0.9823   -0.0177       00100   005        1          0000000004   0.40  0.40  0.10
-1.2000    -0.6821   -0.5179       00100   005        1          0000000004   0.50  0.40  0.10
-1.4000    -0.6134   -0.7866       00100   005        1          0000000004   0.60  0.40  0.10
